Sentences,Class
Take a pill and some rest.,Weakness
I have headache and fever since last night.,Fever
I am checking your body temperature.,Fever
I can't get up I feel weakness.,Weakness
Take a pill and have some rest.,Weakness
I need glass of water.,BasicNeed
Here it is.,BasicNeed
I need some medicine for fever and headache.,Fever
Here it is.,Fever
I want some food.,BasicNeed
Here it is.,BasicNeed
I want to go washroom.,BasicNeed
you may go.,BasicNeed
Can you please open the fan.,Desire
Yes of course.,Desire
Can you please oepn the window.,Desire
Ok.,Desire
Can you please give me my phone.,Desire
Here it is.,Desire
I want to do some simple exercise.,Desire
"Ok, you need some help.",Desire
I want to meet my mother.,Desire
"Ok, you can.",Desire
My heart is beating so fast.,Weakness
let me check.,Weakness
I want listen a classical song to realx my mind.,Desire
Ok you can.,Desire
I want to go on round in park.,Desire
"Ok, you may go.",Desire
I want some tissue paper.,BasicNeed
Here it is.,BasicNeed
I want to meet my family member.,Desire
Ok you can.,Desire
I feel pian from backside due to rest.,Weakness
you have walk around in room.,Weakness
Please give me syrup for acidity.,Acidity
Here it is.,Acidity
I want to change my bedsheet.,BasicNeed
Caretaker has changed on daily basis.,BasicNeed
Please change my bed's location.,Desire
Ok you can.,Desire
I want to take tea or coffe.,Desire
Ok you can.,Desire
Please give apple juice.,Desire
Here it is.,Desire
Kindly give me my glasses.,BasicNeed
Here it is.,BasicNeed
I want to take bath.,BasicNeed
you may go.,BasicNeed
I want to know about my health status.,Desire
You are fine don't worry.,Desire
I am feeling like daziness.,Weakness
"Ok don't worry, just relax.",Weakness
I am feeling like vomitting.,Fever
"Ok don't worry, just relax.",Fever
I am feeling flu and sore in throat.,Fever
Ok take a pill.,Fever
I have take medicines beacause I am not feel well.,Fever
Ok you can.,Fever
I know these syptoms are of COVID-19.,Fever
"No, don't worry these are mild symptoms.",Fever
I want to brush my teeth.,Desire
Ok you can.,Desire
I want comb my hair.,Desire
Ok you can.,Desire
I want cut my nails.,BasicNeed
Ok you can.,BasicNeed
I want to wash my face.,Desire
Ok you can.,Desire
I want eat bananas.,Desire
Here it is.,Desire
I want to pray prayer.,Desire
Ok you can.,Desire
I want to hear news on television.,Desire
Ok open the TV.,Desire
I want to read newspaper.,Desire
Here it is.,Desire
"Please check me, I am facing issues in breathing.",Fever
"don't worry, just try to be calm.",Fever
Please give me my inhaler.,BasicNeed
Here it is.,BasicNeed
I want to shave my beard.,Desire
Ok you can.,Desire
I want to shave my beard.,Desire
